  Iter      Objective      FeasError   OptError    ||Step||    CGits 
--------  --------------  ----------  ----------  ----------  -------
    1620    8.773185e+00   1.254e-02   2.365e-03   9.657e-02        0
    1630    8.767509e+00   6.978e-02   2.351e-03   2.783e+00        0
    1640    8.761060e+00   4.026e-01   4.755e-03   4.075e+00        3
    1650    8.753047e+00   2.071e+00   6.343e-03   1.085e+00        0
    1660    8.752680e+00   2.508e-03   5.685e-03   5.334e-01        4
    1670    8.750611e+00   6.010e-01   5.220e-03   2.202e-01        0
    1680    8.741573e+00   4.871e-01   1.137e-02   2.387e+00        0
    1690    8.734346e+00   6.264e-02   1.577e-02   2.026e+00        0
    1700    8.730584e+00   9.498e-02   9.399e-03   5.854e-01        0
    1710    8.727522e+00   1.732e-02   7.269e-03   3.726e+00        0
    1720    8.725696e+00   1.959e-02   1.246e-03   2.655e+00        4
    1730    8.724250e+00   3.975e-02   8.929e-03   7.975e-01        0
    1740    8.723000e+00   9.267e-03   1.085e-03   4.085e+00        0
    1750    8.719347e+00   4.018e-03   5.598e-03   1.823e-01        0
    1760    8.695999e+00   2.059e-01   1.360e-02   9.912e-02        0
    1770    8.690477e+00   3.740e-02   1.695e-02   1.209e+00        0
    1780    8.686232e+00   2.849e-02   2.133e-02   7.714e-01        0
    1790    8.683223e+00   9.330e-02   9.214e-03   4.397e+00        1
    1800    8.682135e+00   2.496e-03   3.056e-04   4.814e-01        0
    1810    8.680065e+00   4.448e-03   3.267e-03   5.720e-01        0
    1820    8.672404e+00   4.556e-01   1.025e-02   5.066e+00        1
    1830    8.667179e+00   1.436e-02   4.743e-04   1.116e+00        0
    1840    8.660506e+00   1.793e-02   3.302e-02   8.563e-01        0
    1850    8.652279e+00   4.689e-02   3.378e-02   3.494e-01        0
    1860    8.642378e+00   8.539e-01   1.396e-02   5.904e+00        2
    1870    8.631053e+00   7.414e-01   1.388e-02   5.600e+00        3
    1880    8.630255e+00   2.938e-01   9.336e-03   6.247e-02        0
    1890    8.616296e+00   1.964e-01   8.870e-02   6.111e-01        0
    1900    8.602194e+00   1.400e-01   1.176e-02   3.930e-01        0
    1910    8.594669e+00   1.097e-01   1.390e-02   2.657e-01        0
    1920    8.576725e+00   7.550e-02   1.295e-02   2.258e+00        0
    1930    8.569003e+00   2.468e-01   6.048e-03   1.287e+00        0
    1940    8.565265e+00   1.125e-02   1.028e-02   5.463e+00        3
    1950    8.562776e+00   8.435e-03   8.812e-04   1.196e+00        0
    1960    8.559813e+00   3.613e-03   2.132e-03   1.655e+00        0
    1970    8.556389e+00   1.167e-01   1.941e-02   1.372e+00        0
    1980    8.550022e+00   7.046e-01   1.312e-03   4.589e+00        0
    1990    8.545145e+00   1.866e-02   2.547e-03   7.943e-01        0
    2000    8.542873e+00   2.144e-02   7.644e-03   8.524e+00        0
    2010    8.541773e+00   2.814e-03   7.511e-03   1.921e+00        0
    2020    8.539335e+00   2.059e-01   1.687e-02   1.303e+01        1
    2030    8.530652e+00   7.469e-02   1.512e-02   1.257e-01        0
    2040    8.527786e+00   2.161e-01   7.467e-03   7.739e-01        0
    2050    8.520564e+00   4.275e-02   2.247e-02   1.215e-01        0
    2060    8.518237e+00   1.733e-02   1.464e-02   1.326e-02        0
    2070    8.509597e+00   3.405e-01   6.827e-03   5.315e+00        0
    2080    8.493009e+00   1.418e+00   1.294e-02   2.844e-01        0
    2090    8.484052e+00   1.458e-01   2.436e-02   7.154e-01        0
    2100    8.480029e+00   4.021e-02   1.064e-02   1.054e+00        0
    2110    8.478888e+00   1.228e-01   1.397e-02   6.276e-01        0
    2120    8.477570e+00   3.409e-02   4.252e-03   1.818e-01        0
    2130    8.476926e+00   9.201e-02   5.664e-03   1.060e+00        0
    2140    8.476461e+00   3.573e-03   4.178e-03   1.598e+00        0
    2150    8.474428e+00   1.824e-02   2.618e-02   1.042e-01        0
    2160    8.472452e+00   1.514e-02   8.539e-03   1.560e+00        3
    2170    8.468894e+00   3.074e-02   1.076e-02   2.321e-01        0
    2180    8.468326e+00   3.304e-02   2.569e-04   6.069e-01        0
    2190    8.465761e+00   6.837e-02   8.227e-04   4.619e-01        0
    2200    8.459841e+00   1.369e-01   3.589e-03   4.913e-01        0
    2210    8.457406e+00   1.418e-01   4.901e-03   8.690e-01        0
    2220    8.454630e+00   1.067e-02   7.641e-03   1.546e-01        0
